Municipio;Zona;Sessao;Local;Voto;InicioAguardando;TituloDigitado;InicioDigital;FimDigital;Habilitacao;Voto1;Voto2;Voto3;Voto4;Voto5;FimVotacao;SucessoDigital;TentativasDigital;TeclasIndevidas;TempoTotal;TempoVotacao;TempoOcioso;TempoHabilitacao;TempoVoto1;TempoVoto2;TempoVoto3;TempoVoto4;TempoVoto5;ClassTempoTotal;ClassTempoVotacao;ClassTempoOcioso;ClassTempoHabilitacao;ClassTempoVoto1;ClassTempoVoto2;ClassTempoVoto3;ClassTempoVoto4;ClassTempoVoto5;
28657;16;62;1139;189;2022-10-02 15:08:35;2022-10-02 15:09:44;2022-10-02 15:09:48;2022-10-02 15:10:14;2022-10-02 15:10:16;2022-10-02 15:10:25;2022-10-02 15:10:31;2022-10-02 15:10:39;2022-10-02 15:10:42;2022-10-02 15:10:46;2022-10-02 15:10:48;True;1;1;133;32;101;32;9;6;8;3;4;MA;B1;A2;MB;MA;B1;MB;B1;MA;
28657;16;62;1139;190;2022-10-02 15:10:50;2022-10-02 15:11:10;2022-10-02 15:11:11;2022-10-02 15:11:27;2022-10-02 15:11:29;2022-10-02 15:11:54;2022-10-02 15:12:08;2022-10-02 15:12:18;2022-10-02 15:12:25;2022-10-02 15:12:34;2022-10-02 15:12:35;True;1;0;105;66;39;19;25;14;10;7;9;B1;MA;B1;B1;MA;MA;MB;MB;MA;
28657;16;62;1139;191;2022-10-02 15:12:37;2022-10-02 15:12:52;2022-10-02 15:12:55;2022-10-02 15:13:02;2022-10-02 15:13:04;2022-10-02 15:13:27;2022-10-02 15:13:42;2022-10-02 15:13:50;2022-10-02 15:13:55;2022-10-02 15:14:02;2022-10-02 15:14:04;True;0;0;87;60;27;12;23;15;8;5;7;B1;MB;B2;B2;MA;MA;MB;MB;MA;
28657;16;62;1139;192;2022-10-02 15:14:06;2022-10-02 15:14:20;2022-10-02 15:14:21;2022-10-02 15:14:38;2022-10-02 15:14:41;2022-10-02 15:14:58;2022-10-02 15:15:09;2022-10-02 15:15:20;2022-10-02 15:15:27;2022-10-02 15:15:34;2022-10-02 15:15:35;True;1;0;89;54;35;21;17;11;11;7;7;B1;MB;B1;B1;MA;MB;MA;MB;MA;
28657;16;62;1139;193;2022-10-02 15:15:37;2022-10-02 15:15:58;2022-10-02 15:16:00;2022-10-02 15:16:25;2022-10-02 15:16:28;2022-10-02 15:16:45;2022-10-02 15:16:53;2022-10-02 15:16:59;2022-10-02 15:17:06;2022-10-02 15:17:11;2022-10-02 15:17:13;True;2;3;96;45;51;30;17;8;6;7;5;B1;B1;MB;MB;MA;B1;MB;MB;MA;
28657;16;62;1139;194;2022-10-02 15:17:14;2022-10-02 15:17:33;2022-10-02 15:17:36;2022-10-02 15:18:11;2022-10-02 15:18:32;2022-10-02 15:20:22;2022-10-02 15:20:47;2022-10-02 15:21:01;2022-10-02 15:21:11;2022-10-02 15:21:18;2022-10-02 15:21:20;False;4;2;246;168;78;59;110;25;14;10;7;A2;A2;MA;A2;MA;A1;MA;MA;MA;
28657;16;62;1139;195;2022-10-02 15:21:22;2022-10-02 15:22:11;2022-10-02 15:22:16;2022-10-02 15:22:29;2022-10-02 15:22:32;2022-10-02 15:22:50;2022-10-02 15:23:02;2022-10-02 15:23:13;2022-10-02 15:23:26;2022-10-02 15:23:34;2022-10-02 15:23:36;True;1;0;134;64;70;21;18;12;11;13;8;MA;MB;MA;B1;MA;MB;MA;MA;MA;
28657;16;62;1139;196;2022-10-02 15:23:37;2022-10-02 15:23:53;2022-10-02 15:24:00;2022-10-02 15:24:22;2022-10-02 15:24:24;2022-10-02 15:24:45;2022-10-02 15:24:56;2022-10-02 15:25:08;2022-10-02 15:25:15;2022-10-02 15:25:21;2022-10-02 15:25:23;True;2;1;106;59;47;31;21;11;12;7;6;MB;MB;B1;MB;MA;MB;MA;MB;MA;
28657;16;62;1139;197;2022-10-02 15:25:24;2022-10-02 15:25:45;2022-10-02 15:25:48;2022-10-02 15:25:59;2022-10-02 15:26:02;2022-10-02 15:26:12;2022-10-02 15:26:21;2022-10-02 15:26:57;2022-10-02 15:27:02;2022-10-02 15:27:07;2022-10-02 15:27:08;True;0;2;104;66;38;17;10;9;36;5;5;B1;MA;B1;B1;MA;MB;A2;MB;MA;
28657;16;62;1139;198;2022-10-02 15:27:10;2022-10-02 15:27:37;2022-10-02 15:27:40;2022-10-02 15:28:07;2022-10-02 15:28:09;2022-10-02 15:28:21;2022-10-02 15:28:34;2022-10-02 15:28:41;2022-10-02 15:28:46;2022-10-02 15:28:51;2022-10-02 15:28:53;True;2;2;103;44;59;32;12;13;7;5;5;B1;B1;MB;MB;MA;MB;MB;MB;MA;
28657;16;62;1139;199;2022-10-02 15:28:54;2022-10-02 15:29:16;2022-10-02 15:29:18;2022-10-02 15:29:32;2022-10-02 15:29:35;2022-10-02 15:30:09;2022-10-02 15:30:24;2022-10-02 15:30:33;2022-10-02 15:30:37;2022-10-02 15:30:44;2022-10-02 15:30:45;True;0;1;111;70;41;19;34;15;9;4;7;MB;MA;B1;B1;MA;MA;MB;B1;MA;
28657;16;62;1139;200;2022-10-02 15:30:48;2022-10-02 15:31:27;2022-10-02 15:31:29;2022-10-02 15:32:07;2022-10-02 15:32:25;2022-10-02 15:32:42;2022-10-02 15:32:50;2022-10-02 15:32:58;2022-10-02 15:33:05;2022-10-02 15:33:11;2022-10-02 15:33:12;False;4;0;144;47;97;58;17;8;8;7;6;MA;MB;A2;A2;MA;B1;MB;MB;MA;
28657;16;62;1139;201;2022-10-02 15:33:14;2022-10-02 15:33:45;2022-10-02 15:33:48;2022-10-02 15:34:34;2022-10-02 15:34:36;2022-10-02 15:35:06;2022-10-02 15:35:41;2022-10-02 15:36:00;2022-10-02 15:36:56;2022-10-02 15:37:04;2022-10-02 15:37:05;True;3;1;231;149;82;51;30;35;19;56;8;A2;A2;A1;A1;MA;A2;A1;A2;MA;
28657;16;62;1139;202;2022-10-02 15:37:07;2022-10-02 15:37:53;2022-10-02 15:37:57;2022-10-02 15:38:04;2022-10-02 15:38:06;2022-10-02 15:38:26;2022-10-02 15:38:34;2022-10-02 15:38:45;2022-10-02 15:38:51;2022-10-02 15:39:04;2022-10-02 15:39:05;True;0;3;118;59;59;13;20;8;11;6;13;MB;MB;MB;B1;MA;B1;MA;MB;MA;
28657;16;62;1139;203;2022-10-02 15:39:07;2022-10-02 15:39:35;2022-10-02 15:39:37;2022-10-02 15:39:49;2022-10-02 15:39:51;2022-10-02 15:40:09;2022-10-02 15:40:26;2022-10-02 15:40:44;2022-10-02 15:40:57;2022-10-02 15:41:27;2022-10-02 15:41:29;True;0;5;142;98;44;16;18;17;18;13;30;MA;A1;B1;B1;MA;MA;A1;MA;MA;
28657;16;62;1139;204;2022-10-02 15:41:30;2022-10-02 15:41:51;2022-10-02 15:41:54;2022-10-02 15:42:22;2022-10-02 15:42:25;2022-10-02 15:42:39;2022-10-02 15:42:48;2022-10-02 15:42:53;2022-10-02 15:42:59;2022-10-02 15:43:04;2022-10-02 15:43:06;True;1;0;96;41;55;34;14;9;5;6;5;B1;B1;MB;MB;MA;MB;B1;MB;MA;
